"","year","HomeTeam","AwayTeam","HomeScore","AwayScore"
"1","2023","New Zealand","Norway",1,0
"2","2023","Australia","Ireland",1,0
"3","2023","New Zealand","Phillipines",0,1
"4","2023","Australia","Nigeria",2,3
"5","2023","Australia","Canada",4,0
"6","2023","Australia","Denmark",2,0
"7","2023","Australia","England",1,3
"8","2023","Australia","Sweden",0,2
